org,file_,URL,File,Require,Ensure,Include,Attribute,Hard_coded_string,Command,File_mode,SSH_KEY,Lines_of_code,Comment,defect_status,contributers,top,major,minor
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/git/manifests/install.pp,0,0,1,0,2,18,6,2,0,0,73,37,0,6,0.3636363636363637,6,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/graphoid/manifests/init.pp,1,0,0,0,0,8,1,0,0,0,56,29,0,7,0.35714285714285715,7,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/logstash/manifests/init.pp,0,4,7,5,13,27,7,1,0,0,71,17,1,10,0.24,4,6
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/logstash/manifests/output/elasticsearch.pp,0,0,2,4,6,23,21,2,0,0,76,29,1,7,0.39130434782608703,6,1
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/mathoid/manifests/init.pp,0,0,0,0,0,9,0,0,0,0,58,31,0,7,0.45,7,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/mediawiki/manifests/init.pp,1,12,7,5,17,71,29,2,7,7,253,46,1,13,0.3157894736842105,6,7
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/mediawiki/manifests/mwrepl.pp,0,2,0,1,1,6,6,0,1,1,30,13,1,2,0.5,2,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/motd/manifests/init.pp,0,1,0,1,1,7,3,1,0,0,18,4,0,2,0.8,2,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/motd/manifests/script.pp,0,1,0,2,3,8,6,0,1,1,53,27,0,5,0.2,5,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/mysql/manifests/db.pp,0,0,0,1,2,2,5,0,0,0,42,25,0,2,0.5,2,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/mysql/manifests/init.pp,0,1,2,2,6,14,7,1,1,1,56,24,1,2,0.5,2,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/phabricator/manifests/init.pp,1,5,10,8,23,64,29,1,3,3,206,24,1,12,0.2903225806451613,3,9
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/redis/manifests/init.pp,1,2,3,3,7,27,15,0,1,1,88,43,1,16,0.26,7,9
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/restbase/manifests/init.pp,1,1,1,1,3,17,13,0,1,1,66,22,1,14,0.2978723404255319,5,9
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/role/manifests/analytics.pp,0,1,0,0,10,5,4,0,1,1,54,31,0,1,1.0,1,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/role/manifests/cassandra.pp,0,0,0,0,1,0,0,0,0,0,6,2,0,4,0.4,4,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/role/manifests/citoid.pp,0,0,0,0,2,2,0,0,0,0,15,3,0,3,0.5,3,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/role/manifests/eventlogging.pp,0,0,0,0,5,3,1,0,0,0,25,3,0,3,0.5,3,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/role/manifests/mathoid.pp,1,0,0,0,1,1,1,0,0,0,12,3,1,3,0.5,3,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/role/manifests/ores.pp,1,0,1,0,3,8,6,1,0,0,31,7,1,1,1.0,1,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/role/manifests/sentry.pp,1,0,0,0,2,3,1,0,0,0,29,7,0,3,0.3333333333333333,3,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/role/manifests/timedmediahandler.pp,1,0,1,0,2,5,2,0,0,0,23,3,0,3,0.3333333333333333,3,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/role/manifests/varnish.pp,1,0,0,0,1,1,2,0,0,0,18,4,1,13,0.6870748299319728,2,11
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/role/manifests/wikidata.pp,5,0,1,0,3,19,12,2,0,0,62,7,0,4,0.7777777777777778,4,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/rsyslog/manifests/init.pp,0,1,2,3,5,16,6,0,1,1,31,5,0,4,0.25,4,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/sentry/manifests/init.pp,1,5,8,11,25,46,17,2,5,5,196,49,1,8,0.3333333333333333,8,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/statsd/manifests/init.pp,1,4,4,2,6,23,16,0,3,3,76,19,1,5,0.5555555555555556,5,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/stdlib/tests/file_line.pp,0,1,0,1,1,3,2,0,0,0,9,2,0,1,1.0,1,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/swift/manifests/ring.pp,0,1,3,1,4,26,13,3,1,1,67,27,1,2,0.6666666666666666,2,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/thumbor/manifests/init.pp,2,3,4,6,11,35,24,1,2,2,192,21,1,2,0.8125,2,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/varnish/manifests/init.pp,3,13,11,11,22,96,73,4,13,13,244,12,1,1,1.0,1,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/xvfb/manifests/init.pp,0,1,2,3,5,14,9,0,0,0,53,23,0,2,0.8,2,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/zotero/manifests/init.pp,0,5,3,7,14,39,10,0,2,2,90,14,1,4,0.5,4,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/mediawiki/manifests/jobrunner.pp,0,7,2,3,6,48,28,0,6,6,123,19,1,9,0.32894736842105265,7,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/role/manifests/memcached.pp,0,0,0,0,2,1,1,0,0,0,12,3,0,0,0.3333333333333333,6,5
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/translatewiki/puppet/modules/nginx/manifests/init.pp,0,4,2,3,6,13,5,0,0,0,42,4,1,3,0.6521739130434783,3,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/php/manifests/init.pp,0,1,5,2,13,24,12,1,1,1,87,6,1,0,0.8,3,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/memcached/manifests/init.pp,0,1,1,2,3,7,5,0,0,0,42,21,0,0,0.5,2,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/translatewiki/puppet/modules/base/manifests/init.pp,0,3,0,2,2,6,2,0,0,0,46,4,1,0,0.5769230769230769,3,26
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/translatewiki/puppet/modules/mariadb/manifests/init.pp,0,0,0,1,1,22,17,0,0,0,41,4,1,4,0.4545454545454545,2,0
