Path,File,contributers,top,major,minor
openstack_puppet-nova,file_hack.pp,3,0.6,3,0
openstack_puppet-nova,quantum.pp,4,0.4,4,0
openstack_puppet-nova,san.pp,4,0.4,4,0
openstack_puppet-nova,conductor.pp,12,0.14285714285714285,12,0
openstack_puppet-nova,qpid.pp,6,0.2857142857142857,6,0
openstack_puppet-nova,postgresql.pp,5,0.2,5,0
openstack_puppet-nova,spice.pp,4,0.25,4,0
openstack_puppet-nova,spicehtml5proxy.pp,6,0.2857142857142857,6,0
openstack_puppet-nova,filter.pp,15,0.10526315789473684,15,0
openstack_puppet-nova,neutron.pp,21,0.19444444444444445,6,15
openstack_puppet-nova,cells.pp,14,0.14285714285714285,6,8
openstack_puppet-nova,vmware.pp,9,0.2,9,0
openstack_puppet-nova,nova_with_pacemaker.pp,2,0.5,2,0
openstack_puppet-nova,rbd.pp,17,0.16666666666666666,5,12
openstack_puppet-nova,config.pp,6,0.16666666666666666,6,0
openstack_puppet-nova,logging.pp,12,0.29411764705882354,12,0
openstack_puppet-nova,archive_deleted_rows.pp,6,0.3,6,0
openstack_puppet-nova,policy.pp,8,0.125,8,0
openstack_puppet-nova,ironic.pp,7,0.25,7,0
openstack_puppet-nova,serial.pp,4,0.4,4,0
openstack_puppet-nova,serialproxy.pp,3,0.5,3,0
openstack_puppet-nova,common.pp,12,0.15384615384615385,12,0
openstack_puppet-nova,sync.pp,8,0.125,8,0
openstack_puppet-nova,deps.pp,11,0.16666666666666666,11,0
openstack_puppet-nova,mysql_api.pp,4,0.42857142857142855,4,0
openstack_puppet-nova,postgresql_api.pp,1,1.0,1,0
openstack_puppet-nova,sync_api.pp,6,0.3333333333333333,6,0
openstack_puppet-nova,availability_zone.pp,2,0.5,2,0
openstack_puppet-nova,nova_wsgi.pp,1,1.0,1,0
openstack_puppet-nova,apache.pp,4,0.4,4,0
openstack_puppet-nova,cache.pp,1,1.0,1,0
openstack_puppet-nova,services.pp,3,0.5,3,0
openstack_puppet-nova,authtoken.pp,10,0.3,10,0
openstack_puppet-nova,qemu.pp,6,0.2857142857142857,6,0
openstack_puppet-nova,auth_placement.pp,2,0.6666666666666666,2,0
openstack_puppet-nova,placement.pp,7,0.25,7,0
openstack_puppet-nova,apache_api.pp,6,0.2857142857142857,6,0
openstack_puppet-nova,apache_placement.pp,10,0.16666666666666666,10,0
openstack_puppet-nova,sync_cell_v2.pp,2,0.5,2,0
openstack_puppet-nova,mysql_placement.pp,2,0.5,2,0
openstack_puppet-nova,cell.pp,4,0.25,4,0
openstack_puppet-nova,discover_hosts.pp,2,0.5,2,0
openstack_puppet-nova,map_cell0.pp,3,0.6,3,0
openstack_puppet-nova,simple_setup.pp,3,0.3333333333333333,3,0
openstack_puppet-nova,map_cell_and_hosts.pp,2,0.5,2,0
openstack_puppet-nova,map_instances.pp,2,0.5,2,0
openstack_puppet-nova,online_data_migrations.pp,2,0.5,2,0
openstack_puppet-nova,pci.pp,2,0.6666666666666666,2,0
openstack_puppet-nova,cors.pp,1,1.0,1,0
openstack_puppet-nova,purge_shadow_tables.pp,2,0.6666666666666666,2,0
openstack_puppet-nova,vgpu.pp,1,1.0,1,0
openstack_puppet-nova,libvirt_guests.pp,1,1.0,1,0
openstack_puppet-nova,metadata.pp,1,1.0,1,0
openstack_puppet-nova,apache_metadata.pp,2,0.6666666666666666,2,0
openstack_fuel-plugin-bigswitch,ceph-config.pp,1,1.0,1,0
openstack_fuel-plugin-bigswitch,compute-config.pp,1,1.0,1,0
openstack_fuel-plugin-bigswitch,controller-config.pp,1,1.0,1,0
openstack_fuel-plugin-bigswitch,ceph.pp,1,1.0,1,0
openstack_fuel-plugin-bigswitch,compute.pp,1,1.0,1,0
openstack_fuel-plugin-bigswitch,controller.pp,1,1.0,1,0
openstack_fuel-plugin-bigswitch,init.pp,1,1.0,1,0
openstack_fuel-plugin-bigswitch,params.pp,1,1.0,1,0
openstack_fuel-plugin-bigswitch,openstack.pp,1,1.0,1,0
openstack_fuel-plugin-bigswitch,common-repo.pp,1,1.0,1,0
openstack_fuel-plugin-bigswitch,controller-network-config.pp,1,1.0,1,0
openstack_fuel-plugin-bigswitch,purge-os.pp,1,1.0,1,0
openstack_fuel-plugin-bigswitch,controller-network.pp,1,1.0,1,0
openstack_fuel-plugin-bigswitch,network-config.pp,1,1.0,1,0
openstack_fuel-plugin-bigswitch,reconfigure-services.pp,1,1.0,1,0
openstack_fuel-plugin-bigswitch,restart-cluster-services.pp,1,1.0,1,0
openstack_fuel-plugin-bigswitch,network.pp,1,1.0,1,0
openstack_fuel-plugin-bigswitch,reconfigure-keystone.pp,1,1.0,1,0
openstack_fuel-plugin-bigswitch,reconfigure-neutron.pp,1,1.0,1,0
openstack_fuel-plugin-bigswitch,openstack-cleanup.pp,1,1.0,1,0
openstack_fuel-plugin-bigswitch,reconfigure_neutron.pp,1,1.0,1,0
openstack_fuel-plugin-bigswitch,restart_cluster_services.pp,1,1.0,1,0
openstack_fuel-plugin-bigswitch,compute-network-config.pp,1,1.0,1,0
openstack_fuel-plugin-bigswitch,general-network-config.pp,1,1.0,1,0
openstack_fuel-plugin-bigswitch,compute_network_config.pp,1,1.0,1,0
openstack_puppet-sahara,example.pp,3,0.5,3,0
openstack_puppet-sahara,dashboard.pp,4,0.4,4,0
openstack_puppet-sahara,mysql.pp,5,0.42857142857142855,5,0
openstack_puppet-sahara,host_access.pp,3,0.3333333333333333,3,0
openstack_puppet-sahara,init.pp,16,0.39344262295081966,3,13
openstack_puppet-sahara,install.pp,4,0.5,4,0
openstack_puppet-sahara,auth.pp,7,0.3,7,0
openstack_puppet-sahara,params.pp,11,0.1875,11,0
openstack_puppet-sahara,service.pp,3,0.3333333333333333,3,0
openstack_puppet-sahara,basic.pp,6,0.375,6,0
openstack_puppet-sahara,client.pp,3,0.5,3,0
openstack_puppet-sahara,postgresql.pp,2,0.6666666666666666,2,0
openstack_puppet-sahara,qpid.pp,2,0.8,2,0
openstack_puppet-sahara,rabbitmq.pp,4,0.6666666666666666,4,0
openstack_puppet-sahara,zeromq.pp,2,0.8,2,0
openstack_puppet-sahara,policy.pp,4,0.25,4,0
openstack_puppet-sahara,config.pp,2,0.6666666666666666,2,0
openstack_puppet-sahara,sync.pp,5,0.3333333333333333,5,0
openstack_puppet-sahara,notify.pp,4,0.5,4,0
openstack_puppet-sahara,all.pp,3,0.5,3,0
openstack_puppet-sahara,api.pp,4,0.5714285714285714,4,0
openstack_puppet-sahara,engine.pp,3,0.5,3,0
openstack_puppet-sahara,db.pp,5,0.375,5,0
openstack_puppet-sahara,logging.pp,5,0.42857142857142855,5,0
openstack_puppet-sahara,deps.pp,1,1.0,1,0
openstack_puppet-sahara,authtoken.pp,5,0.5555555555555556,5,0
openstack_puppet-sahara,apache.pp,1,1.0,1,0
openstack_fuel-plugin-ci,site.pp,1,1.0,1,0
openstack_fuel-plugin-ci,post.pp,1,1.0,1,0
openstack_fuel-plugin-ci,pre.pp,1,1.0,1,0
openstack_fuel-plugin-ci,firewall.pp,1,1.0,1,0
openstack_fuel-plugin-ci,lodgeit.pp,1,1.0,1,0
openstack_fuel-plugin-ci,mirror.pp,1,1.0,1,0
openstack_fuel-plugin-ci,mirror_npm.pp,1,1.0,1,0
openstack_fuel-plugin-ci,mirror_pypi.pp,1,1.0,1,0
openstack_fuel-plugin-ci,mirror_rubygems.pp,1,1.0,1,0
openstack_fuel-plugin-ci,server.pp,1,1.0,1,0
openstack_fuel-plugin-ci,partnerappliance.pp,1,1.0,1,0
openstack_fuel-plugin-ci,partnershare.pp,1,1.0,1,0
openstack_fuel-plugin-ci,plugins.pp,1,1.0,1,0
openstack_fuel-plugin-ci,seed.pp,1,1.0,1,0
openstack_fuel-plugin-ci,static.pp,1,1.0,1,0
openstack_fuel-plugin-ci,updates.pp,1,1.0,1,0
openstack_fuel-plugin-ci,web_share.pp,1,1.0,1,0
openstack_fuel-plugin-ci,common.pp,1,1.0,1,0
openstack_fuel-plugin-ci,devops_tools.pp,1,1.0,1,0
openstack_fuel-plugin-ci,lpbugmanage.pp,1,1.0,1,0
openstack_fuel-plugin-ci,lpupdatebug.pp,1,1.0,1,0
openstack_fuel-plugin-ci,gerrit.pp,1,1.0,1,0
openstack_fuel-plugin-ci,replication.pp,1,1.0,1,0
openstack_fuel-plugin-ci,replication_slave.pp,1,1.0,1,0
openstack_fuel-plugin-ci,glusterfs.pp,1,1.0,1,0
openstack_fuel-plugin-ci,master.pp,1,1.0,1,0
openstack_fuel-plugin-ci,slave.pp,1,1.0,1,0
openstack_fuel-plugin-ci,custom_scripts.pp,1,1.0,1,0
openstack_fuel-plugin-ci,lab_cz.pp,1,1.0,1,0
openstack_fuel-plugin-ci,mongo_common.pp,1,1.0,1,0
openstack_fuel-plugin-ci,mongodb.pp,1,1.0,1,0
openstack_fuel-plugin-ci,nailgun_demo.pp,1,1.0,1,0
openstack_fuel-plugin-ci,nginx.pp,1,1.0,1,0
openstack_fuel-plugin-ci,racktables.pp,1,1.0,1,0
openstack_fuel-plugin-ci,docs.pp,1,1.0,1,0
openstack_fuel-plugin-ci,errata.pp,1,1.0,1,0
openstack_fuel-plugin-ci,database.pp,1,1.0,1,0
openstack_fuel-plugin-ci,web.pp,1,1.0,1,0
openstack_fuel-plugin-ci,mailman.pp,1,1.0,1,0
openstack_fuel-plugin-ci,ns.pp,1,1.0,1,0
openstack_fuel-plugin-ci,builder.pp,1,1.0,1,0
openstack_fuel-plugin-ci,publisher.pp,1,1.0,1,0
openstack_fuel-plugin-ci,storage.pp,1,1.0,1,0
openstack_fuel-plugin-ci,tracker.pp,1,1.0,1,0
openstack_fuel-plugin-ci,proxy.pp,1,1.0,1,0
openstack_fuel-plugin-ci,lab.pp,1,1.0,1,0
openstack_fuel-plugin-ci,puppetmaster.pp,1,1.0,1,0
openstack_fuel-plugin-ci,znc.pp,1,1.0,1,0
openstack_fuel-plugin-ci,params.pp,1,1.0,1,0
openstack_fuel-plugin-ci,swarm_slave.pp,1,1.0,1,0
openstack_fuel-plugin-ci,agent.pp,1,1.0,1,0
openstack_fuel-plugin-ci,config.pp,1,1.0,1,0
openstack_fuel-plugin-ci,facter.pp,1,1.0,1,0
openstack_fuel-plugin-ci,init.pp,1,1.0,1,0
openstack_fuel-plugin-ci,authorized_keys.pp,1,1.0,1,0
openstack_fuel-plugin-ci,banner.pp,1,1.0,1,0
openstack_fuel-plugin-ci,known_host.pp,1,1.0,1,0
openstack_fuel-plugin-ci,ldap.pp,1,1.0,1,0
openstack_fuel-plugin-ci,sshd.pp,1,1.0,1,0
openstack_fuel-plugin-ci,application.pp,1,1.0,1,0
openstack_fuel-plugin-ci,exec.pp,1,1.0,1,0
openstack_fuel-plugin-ci,venv.pp,1,1.0,1,0
openstack_fuel-plugin-cisco-aci,api.pp,1,1.0,1,0
openstack_fuel-plugin-cisco-aci,host_agent.pp,1,1.0,1,0
openstack_fuel-plugin-cisco-aci,params.pp,2,0.8333333333333334,2,0
openstack_fuel-plugin-cisco-aci,svc_agent.pp,1,1.0,1,0
openstack_fuel-plugin-cisco-aci,gbp_and_apic_gbp.pp,1,1.0,1,0
openstack_fuel-plugin-cisco-aci,gbp_and_apic_ml2.pp,1,1.0,1,0
openstack_fuel-plugin-cisco-aci,gbp_and_mapping.pp,1,1.0,1,0
openstack_fuel-plugin-cisco-aci,generic_apic_ml2.pp,1,1.0,1,0
openstack_fuel-plugin-cisco-aci,client.pp,1,1.0,1,0
openstack_fuel-plugin-cisco-aci,config.pp,1,1.0,1,0
openstack_fuel-plugin-cisco-aci,heat.pp,1,1.0,1,0
openstack_fuel-plugin-cisco-aci,horizon.pp,1,1.0,1,0
openstack_fuel-plugin-cisco-aci,manage.pp,1,1.0,1,0
openstack_fuel-plugin-cisco-aci,ha_services.pp,1,1.0,1,0
openstack_fuel-plugin-cisco-aci,services.pp,1,1.0,1,0
openstack_fuel-plugin-cisco-aci,project.pp,1,1.0,1,0
openstack_fuel-plugin-cisco-aci,service.pp,1,1.0,1,0
openstack_fuel-plugin-cisco-aci,init.pp,1,1.0,1,0
openstack_fuel-plugin-cisco-aci,config_apic.pp,1,1.0,1,0
openstack_fuel-plugin-cisco-aci,config_auth.pp,1,1.0,1,0
openstack_fuel-plugin-cisco-aci,network.pp,1,1.0,1,0
openstack_fuel-plugin-cisco-aci,agents.pp,1,1.0,1,0
openstack_fuel-plugin-cisco-aci,apic_server.pp,1,1.0,1,0
openstack_fuel-plugin-cisco-aci,ha_agents.pp,1,1.0,1,0
openstack_fuel-plugin-cisco-aci,ovs_agent.pp,1,1.0,1,0
openstack_fuel-plugin-cisco-aci,server.pp,1,1.0,1,0
openstack_fuel-plugin-cisco-aci,site.pp,1,1.0,1,0
openstack_solar-resources,run.pp,5,0.4266666666666667,4,1
openstack_solar-resources,apache_dropin.pp,1,1.0,1,0
openstack_solar-resources,apache_with_paths.pp,1,1.0,1,0
openstack_solar-resources,ldap_full.pp,1,1.0,1,0
openstack_solar-resources,ldap_identity.pp,1,1.0,1,0
openstack_solar-resources,client.pp,1,1.0,1,0
openstack_solar-resources,config.pp,1,1.0,1,0
openstack_solar-resources,mysql.pp,1,1.0,1,0
openstack_solar-resources,host_access.pp,1,1.0,1,0
openstack_solar-resources,postgresql.pp,1,1.0,1,0
openstack_solar-resources,sync.pp,1,1.0,1,0
openstack_solar-resources,install.pp,1,1.0,1,0
openstack_solar-resources,endpoint.pp,1,1.0,1,0
openstack_solar-resources,init.pp,1,1.0,1,0
openstack_solar-resources,ldap.pp,1,1.0,1,0
openstack_solar-resources,params.pp,1,1.0,1,0
openstack_solar-resources,python.pp,1,1.0,1,0
openstack_solar-resources,admin.pp,1,1.0,1,0
openstack_solar-resources,apache.pp,1,1.0,1,0
openstack_solar-resources,site.pp,1,1.0,1,0
openstack_solar-resources,ini_setting.pp,1,1.0,1,0
openstack_solar-resources,ini_subsetting.pp,1,1.0,1,0
openstack_solar-resources,test.pp,3,0.5,3,0
openstack_solar-resources,backup.pp,1,1.0,1,0
openstack_solar-resources,db.pp,1,1.0,1,0
openstack_solar-resources,java.pp,1,1.0,1,0
openstack_solar-resources,password.pp,1,1.0,1,0
openstack_solar-resources,replicator.pp,1,1.0,1,0
openstack_solar-resources,ruby.pp,1,1.0,1,0
openstack_solar-resources,server.pp,1,1.0,1,0
openstack_solar-resources,account_security.pp,1,1.0,1,0
openstack_solar-resources,monitor.pp,1,1.0,1,0
openstack_solar-resources,mysqltuner.pp,1,1.0,1,0
openstack_solar-resources,stages.pp,1,1.0,1,0
openstack_solar-resources,file_line.pp,1,1.0,1,0
openstack_solar-resources,has_interface_with.pp,1,1.0,1,0
openstack_solar-resources,has_ip_address.pp,1,1.0,1,0
openstack_solar-resources,has_ip_network.pp,1,1.0,1,0
openstack_solar-resources,remove.pp,4,0.45348837209302323,4,0
openstack_solar-resources,update.pp,4,0.5957446808510638,4,0
openstack_fuel-plugin-murano,murano.pp,3,0.7777777777777778,3,0
openstack_fuel-plugin-murano,murano_cfapi.pp,1,1.0,1,0
openstack_fuel-plugin-murano,murano_dashboard.pp,1,1.0,1,0
openstack_fuel-plugin-murano,murano_db.pp,1,1.0,1,0
openstack_fuel-plugin-murano,murano_haproxy.pp,1,1.0,1,0
openstack_fuel-plugin-murano,murano_hiera_override.pp,1,1.0,1,0
openstack_fuel-plugin-murano,murano_keystone.pp,1,1.0,1,0
openstack_fuel-plugin-murano,murano_logging.pp,1,1.0,1,0
openstack_fuel-plugin-murano,murano_rabbitmq.pp,1,1.0,1,0
openstack_fuel-plugin-murano,update_openrc.pp,1,1.0,1,0
openstack_fuel-plugin-murano,pin_murano_plugin_repo.pp,1,1.0,1,0
openstack_fuel-plugin-murano,import_murano_package.pp,2,0.6666666666666666,2,0
openstack_fuel-plugin-murano,murano_disable_old.pp,2,0.6666666666666666,2,0
openstack_puppet-monasca,init.pp,3,0.6666666666666666,3,0
openstack_puppet-monasca,apiserver.pp,2,0.8888888888888888,2,0
openstack_puppet-monasca,storm.pp,1,1.0,1,0
openstack_puppet-monasca,config.pp,6,0.7692307692307693,3,3
openstack_puppet-monasca,agent.pp,5,0.6551724137931034,3,2
openstack_puppet-monasca,params.pp,3,0.8,3,0
openstack_puppet-monasca,dashboard.pp,1,1.0,1,0
openstack_puppet-monasca,prereqs.pp,1,1.0,1,0
openstack_puppet-monasca,auth.pp,8,0.4,2,6
openstack_puppet-monasca,startup_script.pp,2,0.8333333333333334,2,0
openstack_puppet-monasca,topics.pp,3,0.5,3,0
openstack_puppet-monasca,bootstrap.pp,3,0.7,3,0
openstack_puppet-monasca,apache.pp,2,0.5714285714285714,2,0
