org,file_,contributers,top,major,minor,defect_status
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/fuel-library/deployment/puppet/openstack/manifests/ha/nova.pp,11,0.2,11,0,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/puppet-designate/manifests/keystone/auth.pp,8,0.2727272727272727,8,0,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/fuel-library/deployment/puppet/openstack/manifests/ha/horizon.pp,7,0.2,7,0,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/puppet-sahara/manifests/keystone/auth.pp,7,0.3,7,0,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/fuel-plugin-elasticsearch-kibana/deployment_scripts/puppet/manifests/firewall.pp,3,0.6363636363636364,3,0,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/puppet-cinder/manifests/backup/nfs.pp,5,0.3333333333333333,5,0,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/puppet-cinder/manifests/volume/rbd.pp,13,0.125,13,0,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/fuel-library/deployment/puppet/osnailyfacter/manifests/wait_for_nova_backends.pp,1,1.0,1,0,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/puppet-murano/manifests/keystone/auth.pp,5,0.3333333333333333,5,0,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/fuel-plugin-ironic/deployment_scripts/puppet/manifests/haproxy.pp,1,1.0,1,0,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/puppet-magnum/manifests/keystone/auth.pp,2,0.5,2,0,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/fuel-plugin-midonet/deployment_scripts/puppet/manifests/midonet-install-api.pp,3,0.7,3,0,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/fuel-library/deployment/puppet/openstack/manifests/ha/heat.pp,11,0.14285714285714285,11,0,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/fuel-library/deployment/puppet/l23network/manifests/params.pp,15,0.25925925925925924,5,10,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/puppet-cinder/manifests/volume/solidfire.pp,8,0.125,8,0,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/puppet-cinder/manifests/volume/hp3par_iscsi.pp,7,0.2222222222222222,7,0,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/fuel-plugin-influxdb-grafana/deployment_scripts/puppet/manifests/haproxy.pp,3,0.38461538461538464,3,0,1
