org,file_,contributers,top,major,minor,defect_status
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/mysql/manifests/init.pp,2,0.5,2,0,1
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/phabricator/manifests/init.pp,12,0.2903225806451613,3,9,1
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/redis/manifests/init.pp,16,0.26,7,9,1
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/restbase/manifests/init.pp,14,0.2978723404255319,5,9,1
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/role/manifests/analytics.pp,1,1.0,1,0,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/role/manifests/cassandra.pp,4,0.4,4,0,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/role/manifests/citoid.pp,3,0.5,3,0,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/role/manifests/eventlogging.pp,3,0.5,3,0,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/role/manifests/mathoid.pp,3,0.5,3,0,1
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/role/manifests/ores.pp,1,1.0,1,0,1
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/role/manifests/sentry.pp,3,0.3333333333333333,3,0,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/role/manifests/timedmediahandler.pp,3,0.3333333333333333,3,0,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/role/manifests/varnish.pp,13,0.6870748299319728,2,11,1
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/role/manifests/wikidata.pp,4,0.7777777777777778,4,0,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/rsyslog/manifests/init.pp,4,0.25,4,0,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/sentry/manifests/init.pp,8,0.3333333333333333,8,0,1
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/statsd/manifests/init.pp,5,0.5555555555555556,5,0,1
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/stdlib/tests/file_line.pp,1,1.0,1,0,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/swift/manifests/ring.pp,2,0.6666666666666666,2,0,1
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/thumbor/manifests/init.pp,2,0.8125,2,0,1
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/varnish/manifests/init.pp,1,1.0,1,0,1
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/xvfb/manifests/init.pp,2,0.8,2,0,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/zotero/manifests/init.pp,4,0.5,4,0,1
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/mediawiki/manifests/jobrunner.pp,9,0.32894736842105265,7,0,1
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/role/manifests/memcached.pp,0,0.3333333333333333,6,5,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/translatewiki/puppet/modules/nginx/manifests/init.pp,3,0.6521739130434783,3,0,1
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/php/manifests/init.pp,0,0.8,3,0,1
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/memcached/manifests/init.pp,0,0.5,2,0,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/translatewiki/puppet/modules/base/manifests/init.pp,0,0.5769230769230769,3,26,1
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/translatewiki/puppet/modules/mariadb/manifests/init.pp,4,0.4545454545454545,2,0,1
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/translatewiki/puppet/modules/sudo/manifests/init.pp,0,0.5,2,0,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/translatewiki/puppet/modules/sudo/manifests/init.pp,0,0.5,2,0,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/translatewiki/puppet/modules/hhvm/manifests/init.pp,0,0.6,4,12,1
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/translatewiki/puppet/modules/hhvm/manifests/init.pp,0,0.6,4,12,1
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/translatewiki/puppet/modules/base/manifests/mediawiki.pp,0,0.6666666666666666,2,6,0
